Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Cancellation Impact
Kempapura,"4,67,690","4,64,839","3,60,926","2,40,038",235067.0,"1,50,852",99.4%,77.6%,66.5%,97.9%,84173.0,35.8%,32.3%,"₹2,28,86,452",8.28,₹145.63,"13,22,285",35.808088757673346
HSR - Singasandra,"6,33,334","6,27,352","5,20,343","2,55,679",250108.0,"1,45,339",99.1%,82.9%,49.1%,97.8%,104704.0,41.9%,22.9%,"₹2,14,87,915",7.91,₹141.29,"12,09,859",41.863514961536616
Shakambari Nagar,"4,04,779","4,01,530","3,10,798","2,15,522",211098.0,"1,43,850",99.2%,77.4%,69.3%,97.9%,67203.0,31.8%,35.5%,"₹1,68,47,054",6.29,₹114.15,"9,35,402",31.834977119631642
New Thippasandra,"5,14,162","5,09,398","4,30,195","2,16,416",212511.0,"1,41,334",99.1%,84.5%,50.3%,98.2%,71126.0,33.5%,27.5%,"₹2,03,34,402",7.57,₹135.66,"11,38,133",33.46932629369774
Hudi,"6,24,101","6,19,409","5,05,072","2,41,433",237996.0,"1,39,066",99.3%,81.5%,47.8%,98.6%,98878.0,41.5%,22.3%,"₹2,40,67,402",8.59,₹152.37,"13,76,861",41.546076404645454
Ulsoor,"5,91,305","5,86,928","5,09,987","2,34,286",231034.0,"1,37,688",99.3%,86.9%,45.9%,98.6%,93291.0,40.4%,23.3%,"₹1,94,96,628",7.28,₹132.34,"10,87,433",40.37977094280495
Horamavu,"4,74,215","4,71,298","3,73,096","2,17,363",213193.0,"1,34,402",99.4%,79.2%,58.3%,98.1%,78766.0,37.0%,28.3%,"₹2,14,19,228",8.54,₹149.94,"12,43,702",36.945865952446844
C V Raman Nagar,"5,53,745","5,49,626","4,43,121","2,23,614",220398.0,"1,33,108",99.3%,80.6%,50.5%,98.6%,87237.0,39.6%,24.0%,"₹1,89,27,535",7.35,₹132.29,"10,61,714",39.58157515040971
BTM Layout,"5,92,216","5,86,375","4,86,876","2,31,084",225865.0,"1,31,673",99.0%,83.0%,47.5%,97.7%,94148.0,41.7%,22.2%,"₹1,71,59,245",6.85,₹126.39,"9,44,612",41.68330639984062
AECS Layout,"6,76,398","6,71,200","5,54,146","2,25,651",222152.0,"1,31,372",99.2%,82.6%,40.7%,98.4%,90735.0,40.8%,19.4%,"₹2,16,64,546",7.79,₹141.87,"12,21,715",40.84365659548418
Banasavadi,"3,99,496","3,96,889","3,20,276","1,96,872",193129.0,"1,29,571",99.4%,80.7%,61.5%,98.1%,63520.0,32.9%,32.4%,"₹1,81,19,313",7.33,₹131.58,"10,27,738",32.88993367127671
Hennur,"4,15,505","4,12,861","3,18,728","2,06,331",202957.0,"1,29,335",99.4%,77.2%,64.7%,98.4%,73580.0,36.3%,31.1%,"₹1,80,50,307",7.26,₹130.63,"10,26,125",36.25398483422597
N S Palya,"4,67,723","4,62,917","3,82,404","2,02,109",197602.0,"1,28,229",99.0%,82.6%,52.8%,97.8%,69328.0,35.1%,27.4%,"₹1,68,04,588",7.29,₹131.77,"9,32,215",35.08466513496827
Dodda Nekkundi,"6,07,388","6,02,318","4,96,200","2,14,444",210757.0,"1,27,586",99.2%,82.4%,43.2%,98.3%,83119.0,39.4%,21.0%,"₹2,15,82,457",8.44,₹148.42,"12,35,186",39.43831047130107
Jnana Bharathi,"3,19,314","3,16,723","2,27,074","1,86,083",182666.0,"1,25,721",99.2%,71.7%,82.0%,98.2%,56904.0,31.1%,39.4%,"₹1,63,82,506",7.13,₹124.87,"9,47,899",31.15193851072449
Sarakki,"3,40,594","3,37,939","2,69,400","1,93,160",188967.0,"1,25,071",99.2%,79.7%,71.7%,97.8%,63821.0,33.8%,36.7%,"₹1,49,15,086",6.07,₹111.14,"8,13,727",33.77362184931761
Subramanyapura,"3,55,850","3,52,874","2,69,420","1,86,568",182249.0,"1,24,196",99.2%,76.4%,69.3%,97.7%,58020.0,31.8%,34.9%,"₹1,72,48,916",7.97,₹139.95,"9,98,378",31.835565627246236
Pulikeshinagar,"3,72,621","3,70,303","3,05,602","1,86,689",184193.0,"1,22,558",99.4%,82.5%,61.1%,98.7%,61553.0,33.4%,32.9%,"₹1,46,06,750",5.85,₹110.85,"7,95,966",33.41766516642869
Kalkere,"4,74,310","4,71,110","3,80,594","1,95,394",192404.0,"1,21,528",99.3%,80.8%,51.3%,98.5%,70832.0,36.8%,25.6%,"₹1,97,39,152",8.75,₹154.38,"11,34,101",36.81420344691379
Ibluru,"5,29,396","5,24,454","4,51,357","1,96,173",192428.0,"1,20,717",99.1%,86.1%,43.5%,98.1%,71676.0,37.3%,22.8%,"₹1,87,02,426",8.26,₹146.46,"10,52,691",37.24821751512254
Kalena Agrahara,"4,70,987","4,65,367","3,74,447","1,89,087",185254.0,"1,20,613",98.8%,80.5%,50.5%,98.0%,64607.0,34.9%,25.6%,"₹2,05,90,403",9.98,₹172.89,"11,98,826",34.874820516696
Vishveshwara Puram,"3,87,229","3,84,832","2,94,439","1,90,086",186643.0,"1,20,170",99.4%,76.5%,64.6%,98.2%,66426.0,35.6%,31.0%,"₹1,41,85,350",6.65,₹120.04,"7,95,860",35.58986942987414
Rajarajeshwari Nagar,"2,97,997","2,95,464","2,08,838","1,74,366",170354.0,"1,19,567",99.2%,70.7%,83.5%,97.7%,50761.0,29.8%,40.1%,"₹1,73,02,405",7.97,₹137.66,"10,13,757",29.797363137936294
Hulimavu,"3,99,563","3,95,970","3,17,072","1,86,245",182318.0,"1,19,094",99.1%,80.1%,58.7%,97.9%,63188.0,34.7%,29.8%,"₹1,72,54,752",7.91,₹141.18,"9,79,150",34.658124814883884
Mahadevapura,"5,19,993","5,16,186","4,22,924","1,97,874",195067.0,"1,16,959",99.3%,81.9%,46.8%,98.6%,78061.0,40.0%,22.5%,"₹1,80,52,185",7.57,₹137.16,"10,18,123",40.01753243757273
Belathur,"4,73,171","4,68,835","3,59,181","1,89,652",186679.0,"1,15,788",99.1%,76.6%,52.8%,98.4%,70818.0,37.9%,24.5%,"₹1,97,51,448",8.71,₹153.60,"11,38,460",37.935707819304795
Rupenaagrahara,"4,68,424","4,64,133","3,86,058","1,95,007",190728.0,"1,11,611",99.1%,83.2%,50.5%,97.8%,79081.0,41.5%,23.8%,"₹1,67,17,199",7.96,₹142.96,"9,48,513",41.46271129566713
Byatarayanapura,"3,26,788","3,24,286","2,47,453","1,72,205",168796.0,"1,10,246",99.2%,76.3%,69.6%,98.0%,58518.0,34.7%,33.7%,"₹1,73,87,578",8.48,₹148.43,"10,12,272",34.66788312519254
Jogupalya,"3,52,576","3,49,570","2,98,481","1,65,972",163111.0,"1,08,242",99.2%,85.4%,55.6%,98.3%,54840.0,33.6%,30.7%,"₹1,38,70,184",6.39,₹118.33,"7,64,262",33.62127630877133
Hemmigepura,"3,24,225","3,18,922","2,24,149","1,61,678",158827.0,"1,06,777",98.4%,70.3%,72.1%,98.2%,52002.0,32.7%,32.9%,"₹1,57,55,609",8.48,₹146.23,"9,24,865",32.74128454230074
Babusab Palya,"3,87,542","3,84,927","3,15,006","1,71,652",168721.0,"1,05,895",99.3%,81.8%,54.5%,98.3%,62790.0,37.2%,27.3%,"₹1,51,17,374",7.23,₹131.09,"8,54,485",37.21528440443098
Kogilu,"3,23,620","3,20,789","2,21,308","1,64,071",159915.0,"1,04,384",99.1%,69.0%,74.1%,97.5%,55521.0,34.7%,32.3%,"₹2,05,01,848",11.34,₹190.25,"12,29,470",34.71906950567489
Konena Agrahara,"3,98,931","3,95,259","3,35,826","1,62,443",159894.0,"1,02,850",99.1%,85.0%,48.4%,98.4%,57016.0,35.7%,25.8%,"₹1,52,86,571",8.17,₹146.20,"8,59,142",35.65862383829287
