Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Chanakya,96377,95232,57457,46149,44733,27699,98.8,60.3,80.3,96.9,17027,38.1,28.7,3852559,7.52,136.38,221877
Shivanagara,64174,63577,43741,38676,37977,27691,99.1,68.8,88.4,98.2,10269,27.0,43.1,3383414,6.63,117.86,193984
Mahalakshimpuram,65516,64850,44936,39445,38745,27477,99.0,69.3,87.8,98.2,11250,29.0,41.9,3370934,6.53,116.34,193461
Basaveshwara Nagar,58527,57844,40053,36905,36131,27146,98.8,69.2,92.1,97.9,8976,24.8,46.4,3350801,7.74,132.38,194172
Vidyamanyanagar,75939,75319,48394,40083,38827,26581,99.2,64.3,82.8,96.9,12238,31.5,35.0,4253108,8.98,151.45,255355
Peenya,91034,90256,62590,46109,45149,26421,99.2,69.3,73.7,97.9,18711,41.4,29.0,3543467,7.85,138.3,206158
Chowdeswari Ward,90118,88903,60275,42773,41720,26194,98.7,67.8,71.0,97.5,15518,37.2,29.1,5313533,11.42,193.13,322290
Govindaraja Nagar,56479,55909,37517,34726,33936,25734,99.0,67.1,92.6,97.7,8195,24.1,45.6,3303480,6.92,122.15,192036
Maruthi Mandir ward,59573,59060,39759,36081,35073,25648,99.1,67.3,90.8,97.2,9417,26.9,43.0,3353990,7.65,133.05,194119
Kamakshipalya,57410,56844,38391,35243,34658,25365,99.0,67.5,91.8,98.3,9284,26.8,44.2,3263544,6.98,124.77,189598
Avalahalli,67045,66451,46911,38773,37890,24789,99.1,70.6,82.7,97.7,13090,34.5,37.0,3315008,7.5,132.55,189999
Banashankari Temple ward,85840,85171,60417,42008,41326,24423,99.2,70.9,69.5,98.4,16888,40.9,28.4,2598862,5.61,103.27,141898
Kadugodi,114762,113298,84957,40959,40210,24200,98.7,75.0,48.2,98.2,16001,39.8,21.1,4537344,8.91,155.22,267519
Bagalakunte,80540,80086,53963,37043,36470,23104,99.4,67.4,68.7,98.5,13344,36.6,28.7,3001387,6.12,112.39,173032
Hosahalli,55891,55379,38890,33599,32751,22777,99.1,70.2,86.4,97.5,9970,30.4,40.8,2891049,6.7,118.29,167216
Shankar Matt,53607,53055,36312,32452,31755,22594,99.0,68.4,89.4,97.9,9155,28.8,42.1,2747829,6.5,114.19,158582
Nelagadderanahalli,70269,69751,52684,33633,33005,20820,99.3,75.5,63.8,98.1,12173,36.9,29.6,2789659,7.24,125.97,162660
Dodda Bidarakallu,75747,75035,49346,34318,33515,20643,99.1,65.8,69.5,97.7,12864,38.4,27.3,3325375,8.39,144.62,198915
Vijayanagar,54745,54304,37527,30855,30132,20474,99.2,69.1,82.2,97.7,9645,32.0,37.4,2256693,5.67,102.67,126023
Prakash Nagar,50760,50320,34779,29499,28934,19727,99.1,69.1,84.8,98.1,9197,31.8,38.9,2317255,6.67,117.97,131028
Shakthi Ganapathi Nagar,45353,44976,30181,27389,26831,19527,99.2,67.1,90.8,98.0,7288,27.2,43.1,2448766,6.77,119.28,142028
Chandra Layout,50247,49912,34372,28748,28165,19187,99.3,68.9,83.6,98.0,8972,31.9,38.2,2456871,7.12,124.05,141833
Herohalli,47952,47600,29755,26798,26192,18276,99.3,62.5,90.1,97.7,7916,30.2,38.1,2724334,9.7,162.35,162105
Agrahara Dasarahalli,43027,42536,27331,25002,24554,18053,98.9,64.3,91.5,98.2,6496,26.5,42.0,2401294,7.51,127.94,139769
Puneet Rajkumar,45863,45416,30747,26816,26265,18033,99.0,67.7,87.2,97.9,8224,31.3,39.3,2148483,6.3,112.2,123322
Nandini Layout,44061,43724,30100,26165,25692,17747,99.2,68.8,86.9,98.2,7935,30.9,40.3,2203322,7.98,136.49,127506
Binnipete,59606,59100,43772,30868,30446,17157,99.2,74.1,70.5,98.6,13280,43.6,28.8,2173390,6.03,109.08,124006
Nagavara,68797,68313,48922,29950,29541,17006,99.3,71.6,61.2,98.6,12528,42.4,24.7,2128376,6.27,115.24,118358
Rajagopal Nagar,49249,48787,35227,25452,24943,16453,99.1,72.2,72.3,98.0,8483,34.0,33.4,2143115,6.57,116.78,124679
Ranadheera Kanteerava,46845,46412,30623,25551,24906,16164,99.1,66.0,83.4,97.5,8733,35.1,34.5,1933328,6.37,112.1,111080
Hongasandra,66045,65467,52043,27198,26768,15798,99.1,79.5,52.3,98.4,10964,41.0,23.9,2311899,7.83,141.91,131471
Cottonpete,67650,66994,50956,32826,32405,15118,99.0,76.1,64.4,98.7,17281,53.3,22.4,2035209,6.58,118.78,117399
Dayananda Nagar,35860,35491,25987,20503,20224,13486,99.0,73.2,78.9,98.6,6736,33.3,37.6,1487424,5.72,103.47,83810
Mudalapalya,34182,33913,21506,19335,18953,12984,99.2,63.4,89.9,98.0,5964,31.5,38.0,1622413,5.85,105.07,93384
Nayandahalli,41688,41360,27115,20901,20511,12926,99.2,65.6,77.1,98.1,7576,36.9,31.0,1826005,9.05,160.09,105622
Venkateshpura,53359,53147,41072,23750,23529,12897,99.6,77.3,57.8,99.1,10623,45.1,24.2,1453487,6.19,112.54,79501
Azad Nagar,39763,39483,28953,21302,20954,12675,99.3,73.3,73.6,98.4,8270,39.5,31.9,1532784,7.01,125.33,87562
Jai Maruthinagara,33022,32752,22329,19042,18500,12151,99.2,68.2,85.3,97.2,6338,34.3,36.8,1397378,5.52,100.04,79844
Sunkadakatte,34069,33799,21816,18322,17930,11471,99.2,64.5,84.0,97.9,6451,36.0,33.7,1485675,7.0,138.03,85935
Mallasandra,35455,35213,25485,17802,17359,11329,99.3,72.4,69.8,97.5,6028,34.7,31.9,1398636,6.89,121.69,80245
Veera Sindhura Lakshamana,33045,32761,21258,17405,17019,11116,99.1,64.9,81.9,97.8,5900,34.7,33.6,1359938,6.11,109.98,78414
Kaveripura,28034,27744,18644,15486,15239,9824,99.0,67.2,83.1,98.4,5412,35.5,35.0,1313810,7.12,123.67,76749
Hegganahalli,29838,29557,19390,15783,15383,9628,99.1,65.6,81.4,97.5,5750,37.4,32.3,1261951,8.58,149.67,73342
Vrisabhavathi Nagar,27199,26940,17322,14909,14631,9475,99.1,64.3,86.1,98.1,5149,35.2,34.8,1145896,6.27,110.72,65907
Rajeshwari Nagar,28779,28581,18659,14870,14391,9020,99.3,65.3,79.7,96.8,5365,37.3,31.3,1082889,6.25,112.0,62331
Muneshwara Nagar,34615,34416,25294,15178,15016,8025,99.4,73.5,60.0,98.9,6985,46.5,23.2,967405,6.62,122.02,53837
Jagajivanaram Nagar,26740,26526,19388,13672,13471,6957,99.2,73.1,70.5,98.5,6512,48.3,26.0,932470,9.07,155.48,53891
Lakshmi Devi Nagar,19623,19467,12660,10597,10356,6580,99.2,65.0,83.7,97.7,3774,36.4,33.5,784021,7.66,133.48,44959
S K Garden,28317,28182,21614,11877,11800,6492,99.5,76.7,54.9,99.4,5305,45.0,22.9,817438,7.25,132.63,45511
Chalavadipalya,23758,23618,17271,11491,11350,6328,99.4,73.1,66.5,98.8,5013,44.2,26.6,814489,6.59,121.66,46499
Padarayanapura,20946,20772,14648,10189,9934,5098,99.2,70.5,69.6,97.5,4830,48.6,24.3,711850,8.93,157.83,40182
Bapuji Nagar,18887,18768,12466,9740,9629,5074,99.4,66.4,78.1,98.9,4552,47.3,26.9,634454,6.99,128.51,36059
Kempapura Agrahara,16628,16463,11059,8049,7934,4452,99.0,67.2,72.8,98.6,3479,43.9,26.8,520021,6.26,112.07,29348
Devaraj Urs Nagar,17831,17746,12387,8865,8724,4040,99.5,69.8,71.6,98.4,4683,53.7,22.7,507415,5.45,97.72,28547
Devara Jeevanahalli,9611,9548,7245,3770,3730,1407,99.3,75.9,52.0,98.9,2323,62.3,14.6,190579,5.9,114.0,10687
Bangalore Total,67334064,66443051,52916372,30017755,29453513,18628581,98.7,79.6,56.7,98.1,10817296,36.7,27.7,2679910491,8.16,143.86,152007679
