iter	MAE
201	88304.50504
202	88302.12151
203	88287.52921
204	88285.55966
205	88284.47539
206	88277.40698
207	88254.6467
208	88251.37333
209	88241.16703
210	79553.45284
211	79551.79277
212	79551.11888
213	79546.15885
214	79544.17453
215	79543.4597
216	79540.36443
217	79537.74613
218	79531.45429
219	79523.74557
220	79517.08206
221	79513.83345
222	79509.32087
223	79507.67811
224	79507.1
225	79481.35643
226	79473.19008
227	79468.62497
228	79452.49587
229	79449.87911
230	79437.79359
231	71564.2179
232	71559.03873
233	71556.75219
234	71551.24651
235	71550.6356
236	71543.14517
237	71540.04004
238	64507.17418
239	64501.20585
240	64499.66673
241	64496.18766
242	58159.08931
243	58157.2265
244	58155.15838
245	58152.913
246	58151.62708
247	58150.87133
248	58147.44978
249	58145.28858
250	58144.5809
251	58139.90279
252	58133.91563
253	58132.37355
254	58130.03506
255	58127.32498
256	58121.39112
257	58121.23134
258	58116.55272
259	58067.63907
260	58059.74568
261	58059.2723
262	58056.97218
263	58056.62682
264	58055.46774
265	58055.0464
266	58053.63762
267	58009.77223
268	58008.96766
269	58008.16112
270	58007.86622
271	58004.22965
272	57998.56157
273	57997.88425
274	57989.3714
275	57989.09864
276	57987.49762
277	57985.96112
278	52253.60277
279	52242.79502
280	52241.32788
281	52240.72311
282	52231.73354
283	47073.05801
284	47070.00848
285	42456.27311
286	42453.82511
287	42452.05163
288	42450.75845
289	42449.27962
290	42448.37353
291	42444.32812
292	42435.55245
293	42434.73983
294	42433.01048
295	42431.2513
296	42430.91135
297	42429.12239
298	42428.87513
299	42415.74452
300	42414.31029
301	42380.01428
302	42379.52454
303	42376.13322
304	42349.55606
305	42344.12524
306	42336.86892
307	42336.40277
308	42334.45165
309	42331.30813
310	42329.40863
311	42328.27135
312	42327.40479
313	42322.18482
314	42315.98667
315	42314.19493
316	42312.69675
317	42304.12147
318	42303.4497
319	42299.40751
320	42296.57436
321	42294.72393
322	42291.47328
323	42287.22371
324	42279.72914
325	42271.93793
326	42270.70001
327	42268.64326
328	42263.45951
329	42261.85333
330	42255.40464
331	42255.10087
332	42253.16515
333	42252.70718
334	42250.87474
335	42249.1802
336	42247.3457
337	42246.08499
338	38090.14192
339	38087.05487
340	34350.45976
341	34349.56171
342	30960.18932
343	30959.43402
344	27931.7671
345	27929.72285
346	27929.14648
347	27929.07357
348	27926.3229
349	27925.17
350	27921.73485
351	27919.04202
352	27917.94804
353	27917.46966
354	25191.62693
355	25190.14709
356	25188.92397
357	25188.2951
358	25186.77022
359	25185.52914
360	25180.014
361	25179.28312
362	22708.11361
363	22706.90188
364	22705.94348
365	22704.19016
366	22703.40067
367	22703.29465
368	22702.63111
369	22701.5298
370	20492.91794
371	18489.45585
372	16701.67842
373	16701.12776
374	16700.85165
375	15091.96815
376	15074.95465
377	15074.33162
378	15062.82942
379	15062.66209
380	15062.23747
381	13613.11692
382	13612.12139
383	13610.39313
384	13610.02897
385	13607.65507
386	13607.19955
387	13603.11012
388	13600.90749
389	13600.72531
390	13600.33735
391	13596.68067
392	13596.02324
393	13595.66294
394	13593.55725
395	13593.32359
396	13592.95874
397	13592.10055
398	13591.36261
399	13587.87868
400	13587.0879
401	13586.43861
402	13584.81869
403	13584.48975
404	13582.83992
405	13581.82987
406	13581.60541
407	13580.68244
408	13579.8177
409	13578.2391
410	13575.06021
411	13574.59112
412	13573.70052
413	13573.28757
414	13572.81479
415	13568.24538
416	13553.64759
417	13553.37471
418	13552.98578
419	13552.1304
420	13551.47877
421	13550.6271
422	12247.1234
423	12246.62529
424	12246.29586
425	12245.53327
426	11069.10132
427	11068.98313
428	11065.04572
429	11055.29468
430	11054.59814
431	11054.51555
432	11053.84897
433	11053.41563
434	11051.10624
435	11050.65837
436	11047.75682
437	11047.45091
438	11046.2441
439	11045.82513
440	11044.93915
441	9988.612904
442	9987.820903
443	9987.262858
444	9986.255586
445	9984.848089
446	9984.521132
447	9984.415299
448	9984.039969
449	9982.711656
450	9980.556409
451	9018.647126
452	9018.211173
453	9018.082591
454	9017.328613
455	9016.868851
456	9016.777629
457	9014.951229
458	9014.827749
459	9013.931892
460	9011.912065
461	8146.475203
462	7377.156877
463	7376.340285
464	7375.322992
465	7375.044093
466	7374.524161
467	7372.851358
468	7371.710133
469	7359.837372
470	7359.775655
471	7359.263088
472	7359.133726
473	7357.93214
474	7357.178849
475	7355.46764
476	7354.778594
477	7354.208845
478	7353.508313
479	6652.543251
480	6029.246042
481	6020.48777
482	6020.183714
483	6018.482273
484	6015.941296
485	6015.846286
486	6014.70724
487	6014.381615
488	6012.053512
489	6011.678422
490	6010.581816
491	6002.010864
492	6001.941236
493	6001.834487
494	6001.199919
495	6000.163744
496	6000.088057
497	5997.856161
498	5997.198703
499	5990.683432
